Technology name,Heat pump,Gas boiler,Gas CHP,Solar PV,Solar thermal
Output type 1,Heat,Heat,Elec,Elec,Heat
Output type 2,,,Heat,,
Input type 1,Elec,Gas,Gas,Solar,Solar
Input type 2,,,,,
Lifetime,20,30,20,25,25
Capital cost (per kW or m2 for solar),2270,730,2865,325,1350
Capital cost fixed,0,0,0,0,0
OM cost per kWh,0.1,0.01,0.021,0.06,0.12
OM cost fixed,0,0,0,0,0
Efficiency,3.2,0.94,0.345,0.17,0.75
Minimum part load,0,0,0,0,0
Output ratio,0,0,1.28,0,0
Input ratio,0,0,0,0,0
Minimum capacity,0,0,0,0,0
Maximum capacity,100000,100000,100000,0,0
