Technology name,Battery,Hot water tank,NM_storage
Type of energy stored,Elec,Heat,Elec
Lifetime,20,20,100
Capital cost per kWh,430,40,0
Capital cost fixed,0,0,0
Charging efficiency,0.9,0.9,1
Discharging efficiency,0.9,0.9,1
Decay,0.001,0.01,0
Maximum charging rate,0.3,0.25,1
Maximum discharging rate,0.3,0.25,1
Minimum state of charge,0,0,0
Minimum capacity,0,0,0
Maximum capacity,100000,100000,100000
Minimum temperature (thermal storage),,,
Maximum temperature (thermal storage),,,
Specific heat (thermal storage),,,
